Igbo,English
iga,go
inye,give
ụtụtụ ọma,good morning
mgbede ọma,good evening
nna,father
nne,mother
unyahu,yesterday
ebe,where
ezi na ulo,family
akwa,cloth
otuebe,together
Biko,please
ofokwa,almost
mbuso,against
uhie,across
ibuso agha,attack
ahu,body
ura,sleep
iri,eat
isa ahu,bathe
enyi,friend
ihunaanya,love
nri,food
omuma atu,example
myocha,digestion
iza,answer
ogu,fight
asi,hate
ego,money
mmanu,oil
ububo,news
onuogugu,number
mmiri ara,milk
nkeji,minute
ahia ozuzu,business
nlezi,care
ala obodo,nation
onwa,month
egwu,music
esemese,picture
ike,power
mkperechi,religion
ikwu na ibe,relation
okwu,talk
uto,taste
mmiri,water
udidiubochi,weather
mkpuruokwu,word
afo,year
olu,voice
nwaanyi,woman
nwoke,man
onya,wound
osisi,wood
okwute,stone
echiche obi,reason
ihere,shame
mberede,surprise
nwata,baby
Ote aka,long time
uhuruchi,hours
anya,eyes
ige nti,listen
ifuefu,lost
nke mbu,first
nwata,child
ndo,sorry
n'ihu,in front of
omalicha,beautiful
taa,today
di,husband
nwunye,wife
n'ikpaazu,finally
oru,job
okwukwe,believe
uno oru,office
Obi ụtọ,sweetheart
Kwụsị,stop
ika nka,old
dobe,keep
ugbo oloko,train
ndu,life
chukwu,God
ife,light
unyi,dirty
nzuzu,foolishness
onwu,death
ahu ike,healthiness
emesighiiheike,slow
nke ntakiri,small
adiro nma,wrong
eze,tooth
ire,tongue
efere,plate
ngaji,spoon
sapo,sponge
ite,pot
eghu,goat
